PM2.5_score	Month
81.6	March
86.6	March
80.8	March
85.8	March
78.6	March
58.3	March
68.7	March
73.2	March
96.6	March
74.9	March
83	March
66.6	March
68.6	March
70.9	March
71.7	March
71.6	March
77.3	March
76.1	March
92.2	March
72.4	March
61.7	March
75.6	March
85.5	March
72.5	March
74	March
82.5	March
87	March
73.2	March
88.5	March
86.9	March
94.9	March
83	March
77.2	April
74.3	April
64.7	April
82.3	April
85.4	April
72.4	April
79	April
79	April
74.6	April
86.2	April
87.7	April
74.9	April
77.1	April
71.5	April
85.4	April
68.9	April
88.1	April
80.5	April
88.3	April
83.1	April
81	April
71	April
79.9	April
76.6	April
85.1	April
93.6	April
67.7	April
81.1	April
68.2	May
88.6	May
78.5	May
59.6	May
77.2	May
78	May
89.6	May
77.6	May
70.1	May
84.7	May
82.8	May
92	May
74.5	May
78.3	May
70.6	May
77.8	May
70.5	May
81.4	May
66.9	May
76.8	May
70.6	May
71.6	May
69.1	May
84.8	May
71.3	May
84.4	May
78.1	May
79.1	May
