symbol	quantity	entry_price	profit_dollar	market_cap	cash_and_marketable	tev	revenues	ebitda
HIT	77	62.66	-121.14	28052.72	7069.0356	49917.76793	25579.99197	616.13136
BKD	185	26.97	75.3	3380.167	163.385	5787.078	497.946	79.928
CGV	132	37.65	-200.67	5596.6353	450.626645	7139.015335	836.59094	215.565684
SHS	125	39.88	410.8	1916.967	44.039	2154.414	349.695	15.262
CVI	244	20.5	-225.11	1783.5803	200.049	2060.4993	609.395	112.05
OVTI	149	33.4	-273.17	1902.3661	498.895	1450.3671	89.056	-14.463
GLF	109	45.6	96.69	1193.2163	97.195	1422.4493	108.795	55.535
WLL	73	67.7	-127.67	8006.025	18.952	8787.073	146.175	54.089
JOYG	53	95.42	-176.49	10198.914	819.546	9780.362	923.5	200.883
GSM	213	23.55	-291.24	1714.3588	159.314	1605.1588	76.146	7.313
DEP	124	41	-207.59	2341.151	32.4	3097.051	256.8	59.8
EXEL	434	11.44	-77.39	1264.4524	162.664	1310.2464	25.302	-31.691
GPOR	174	29	-441.21	1268.8232	2.468	1318.2722	17.784	9.634
MENT	323	15.78	-88.7	1722.1345	133.113	1813.9135	193.775	15.984
HS	131	36	254.05	2126.0134	191.459	2561.4294	646.115	44.265
TBL	134	35.7	407.45	1837.2632	272.221	1565.0422	296.648	26.145
FTO	177	28.58	-500.01	2852.1572	559.836	2643.0322	846.248	138.054
WTW	76	64.63	-362.87	4748.507	40.534	6073.058	390.578	103.724
SIRI	2762	1.83	-90.81	7099.417	586.691	10509.392	586.979	197.11
HUGH	83	59.52	10.31	1307.2487	182.663	1871.4467	240.215	31.156
ALU	1020	4.9	420.45	11323.518	7632.07795	10906.29595	4641.56392	-92.88288
SATS	154	32.46	604.97	2708.643	1130.9	1990.628	479.547	61.949
GMCR	107	45.7	-228.37	6162.5264	62.924	7184.6194	193.351	28.164
ILMN	67	73.36	-513.8	9100.603	894.289	8517.923	165.757	41.782
IPGP	107	46.55	678.99	2527.9849	147.86	2403.9429	45.408	7.92
